,company_name,date_,total_comp_income_,dividends_,revenue_,stockholders_equity_,market_value_,delta_comprehensive_income_,delta_dividends_,delta_revenue_,delta_stockholders_equity_,delta_market_value_,delta_market_value_forward_,doc2vec_dim_1,doc2vec_dim_2,doc2vec_dim_3,doc2vec_dim_4,doc2vec_dim_5,doc2vec_dim_6,doc2vec_dim_7,doc2vec_dim_8,doc2vec_dim_9,doc2vec_dim_10,doc2vec_dim_11,doc2vec_dim_12,doc2vec_dim_13,doc2vec_dim_14,doc2vec_dim_15,doc2vec_dim_16,doc2vec_dim_17,doc2vec_dim_18,doc2vec_dim_19,doc2vec_dim_20,doc2vec_dim_21,doc2vec_dim_22,doc2vec_dim_23,doc2vec_dim_24,doc2vec_dim_25,doc2vec_dim_26,doc2vec_dim_27,doc2vec_dim_28,doc2vec_dim_29,doc2vec_dim_30
0,HAIN CELESTIAL GROUP INC,2019-06-30 00:00:00,-224.426,0.0,2302.468,1519.319,2282.3961,0.0,0,0.0,0.0,0,0,0.7254295349121094,2.3851823806762695,-0.10659690946340561,-1.1144354343414307,0.6638383865356445,1.3663301467895508,-0.2118729054927826,-1.0867691040039062,-1.5882290601730347,1.1563899517059326,-0.8922502398490906,-1.174459457397461,-0.5441325306892395,1.1261696815490723,-0.5460500717163086,0.8228418827056885,-1.0432358980178833,-1.426431655883789,-1.703520655632019,1.3045355081558228,1.99601411819458,-0.8261135816574097,1.6168452501296997,-0.0034748995676636696,-1.3041226863861084,-0.12321885675191879,0.8885539174079895,0.19985435903072357,-0.5517023801803589,1.9039462804794312
1,SIGMATRON INTERNATIONAL INC,2019-04-30 00:00:00,,,,,,,,,,,,-0.08769775182008743,-0.9326133728027344,0.5516830682754517,0.2697054445743561,0.44315922260284424,0.9113105535507202,-0.14595843851566315,-1.5888944864273071,0.5450267195701599,0.21859288215637207,-0.23281781375408173,0.8416731357574463,-0.719918966293335,0.5540652275085449,-2.555651903152466,0.35589632391929626,-0.1498902589082718,-0.7399733066558838,-0.8025301098823547,0.0693398118019104,1.9835408926010132,0.5902562737464905,1.7789961099624634,-1.1794406175613403,-0.3850219249725342,-1.7740559577941895,0.939025342464447,-0.6803365349769592,-0.6668252348899841,2.094275951385498
2,DSP GROUP INC,2018-12-31 00:00:00,-2.407,0.0,117.438,141.865,249.3792,-0.204823257350512,#DIV/0!,-0.058635864468189004,-0.034603606668935,-0.110670173405251,0.451874093749599,2.1600759029388428,-0.7154344320297241,-1.0721102952957153,0.5059565901756287,1.172848105430603,2.154416084289551,0.339447945356369,-1.220720887184143,-0.8928549885749817,0.5831221342086792,0.8474187254905701,-0.8704683184623718,0.555504560470581,1.9026005268096924,-0.10312146693468094,0.9119040369987488,-1.9001193046569824,0.9507108926773071,-0.32253649830818176,0.40052372217178345,1.544590711593628,3.072126626968384,-0.04301472753286362,-1.0481942892074585,-1.2743415832519531,-1.6516289710998535,0.7630242109298706,-1.1260180473327637,-0.16052396595478058,0.001376761239953339
3,BEAZER HOMES USA INC,2019-09-30 00:00:00,-79.52,0.0,2087.739,538.754,460.9017,0.0,0,0.0,0.0,0,0,1.0548218488693237,-0.49032124876976013,1.49274480342865,-1.4946227073669434,0.864316463470459,0.9166623950004578,-2.198359727859497,-0.9129062294960022,-0.05525938421487808,1.0429201126098633,1.345944881439209,-0.8559541702270508,-1.3415337800979614,-2.5072836875915527,0.6112693548202515,-0.2230127900838852,0.2562149465084076,2.633094072341919,-0.2923114597797394,0.7955506443977356,-0.29880037903785706,1.6009904146194458,1.5429856777191162,-1.0805667638778687,-2.5066659450531006,-0.37515291571617126,1.5436902046203613,0.1643858104944229,-2.991209030151367,-0.38272231817245483
4,OLYMPIC STEEL INC,2018-12-31 00:00:00,33.759,0.88,1715.081,306.991,157.0842,0.7802562885619359,0.002277904328018,0.288860115308079,0.126229442041506,-0.334821912517954,0.254411965048044,-0.2299649566411972,-0.6946515440940857,1.4730799198150635,-0.7186232209205627,2.8487768173217773,0.9156250953674316,1.5854945182800293,-1.2801496982574463,0.40051087737083435,-0.5880425572395325,0.254463255405426,0.09091378003358841,-0.00042967661283910275,1.1938105821609497,-3.236886978149414,0.24267986416816711,-0.49108511209487915,-0.17971530556678772,-0.74759441614151,0.9415796399116516,2.0426242351531982,-0.10324620455503464,2.2682242393493652,-0.8651880025863647,-1.248426914215088,0.4743213951587677,1.1580644845962524,-0.47330090403556824,-1.7966254949569702,1.0003536939620972
5,NN INC,2018-12-31 00:00:00,-278.347,8.802999999999997,770.6569999999998,418.295,282.5178,0.0,0,0.0,0.0,0,0,0.46235886216163635,-0.5838800668716431,1.5350117683410645,-1.1902058124542236,1.3901495933532715,1.2366487979888916,0.7629444003105164,0.6602539420127869,-0.9122976660728455,0.2166161984205246,0.11053691059350967,0.1204788088798523,-0.4418894946575165,1.4701306819915771,-0.58221036195755,0.2839348018169403,-1.1564925909042358,0.32203319668769836,-1.1329096555709839,1.7271147966384888,2.2571730613708496,0.8671197295188904,1.4746311902999878,0.5610489845275879,-0.3394125699996948,0.8372011780738831,0.3204391896724701,0.21468934416770935,0.25218912959098816,1.6073063611984253
6,LIMONEIRA CO,2019-10-31 00:00:00,-7.176,5.832000000000002,171.398,232.498,335.9435,0.0,0,0.0,0.0,0,0,-3.137744426727295,1.2094327211380005,0.9192985892295837,-1.6945239305496216,0.1303074210882187,0.12320131063461304,0.6432685256004333,-0.9748805165290833,1.3201435804367065,1.9746845960617065,-0.7606963515281677,-0.2719411849975586,1.018212914466858,0.5283879637718201,0.3392365276813507,-0.6511557102203369,0.4691430330276489,-0.4302594065666199,-1.4317008256912231,-1.8790034055709839,0.6311025023460388,1.5917874574661255,3.9751832485198975,1.0303585529327393,-0.02792680822312832,0.21615059673786163,0.8791422843933105,0.08541431277990341,-3.6040632724761963,1.5444822311401367
7,AXT INC,2018-12-31 00:00:00,5.269,0.177,102.397,194.532,173.9348,0.0,0,0.0,0.0,0,0,-0.07129667699337006,-0.01737525500357151,0.9205200672149658,0.30354437232017517,-0.04759439826011658,1.0528534650802612,0.33490806818008423,-2.424621343612671,0.9042568802833557,-0.6604886054992676,-0.7008225917816162,-0.6495018601417542,0.565155565738678,0.0998888686299324,-0.6116901636123657,0.02929605357348919,-1.8626043796539307,-0.46485212445259094,0.4949595332145691,1.1761785745620728,1.7324138879776,1.3594505786895752,1.4178913831710815,-0.5821341872215271,-0.9689996838569641,-1.5116029977798462,-0.37772512435913086,-0.2724635899066925,0.22280871868133545,2.3452370166778564
8,SAKER AVIATION SERVICES INC,2018-12-31 00:00:00,0.312,0.0,11.118,5.347,2.6367,0.0,0,0.0,0.0,0,0,-1.1039719581604004,-0.8460575342178345,1.4761216640472412,0.33666324615478516,-0.2619647979736328,-0.1943870335817337,-0.5668765306472778,-0.8594005703926086,0.8843263387680054,0.8669759035110474,0.2653522193431854,0.2602396309375763,-0.6178665161132812,1.159519910812378,-0.6970995664596558,0.18883562088012695,-0.5375697016716003,-0.35950028896331787,-0.9398543834686279,0.5698817372322083,1.1888924837112427,1.162961483001709,1.172439455986023,-0.5886927843093872,-0.7407422661781311,-1.0875895023345947,-0.0322570875287056,-1.8016189336776733,-1.5092511177062988,0.34995609521865845
9,MANNATECH INC,2018-12-31 00:00:00,-5.533,3.0860000000000003,173.558,25.324,44.7628,0.0,0,0.0,0.0,0,0,0.02837236039340496,1.47303307056427,-0.7744717597961426,-0.3120003044605255,1.2213183641433716,1.6041343212127686,-1.0180459022521973,-1.8422104120254517,-0.18261292576789856,0.4034575819969177,0.43706291913986206,0.4606121778488159,0.19528263807296753,1.4148730039596558,-2.8667147159576416,0.31050896644592285,-1.2259116172790527,-0.8231345415115356,0.5273802280426025,0.48941537737846375,1.6155071258544922,0.9114643335342407,0.29664671421051025,-1.0781731605529785,-2.499725341796875,-1.1641621589660645,0.7476528882980347,-0.18023544549942017,-0.43773573637008667,0.8568742871284485
